Tags,Create At,Text
COVID ARYNews ,Thu Apr 01 08:22:13 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ,Thu Apr 01 08:18:46 +0000 2021,Both my parents have tested positive for #COVID Kindly say a prayer for their good health and speedy recovery.
ARYNews ,Thu Apr 01 08:15:58 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
COVID ARYNews ,Thu Apr 01 08:13:07 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 08:13:06 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 08:11:41 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
ARYNews ,Thu Apr 01 08:11:38 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
Pak ,Thu Apr 01 08:11:21 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Covid Vaccination: Registration begins for people above 50 #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/jnzYl1Xwu9 https://t.co/ftHFxqw0JO
,Thu Apr 01 08:11:19 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/jhYIiHnRYe https://t.co/RneWURnlqY
,Thu Apr 01 08:11:18 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Islamabad: 66 more children test positive for coronavirus in 24 hours #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/s8R1ZD7Ply https://t.co/YwYbR8QlOg
Pak ,Thu Apr 01 08:11:17 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl 98 passengers landing at Karachi airport tested COVID positive #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/HNuSGjdPaZ https://t.co/BuCKZoeVb7
,Thu Apr 01 08:11:16 +0000 2021,Does anyone want to be my hopping partner next week? Yeah I know it's covid times but the shit is serious so pls raise your hand
ARYNews ,Thu Apr 01 08:07:16 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
,Thu Apr 01 08:06:52 +0000 2021,"COVID is taking lives,crippling businesses,destroying education, increasing mental illness,dividing our world &amp; ripping families apart.I know my husband sent us to Oz to be safe but nothing makes me wish the end of COVID more than hearing our baby cry for her daddy every night 😢"
coronavirus ,Thu Apr 01 08:04:14 +0000 2021,"Pakistan has opened registration for vaccination against the novel #coronavirus for people of 50 years and above

For More Details: https://t.co/hIPovyWIMA

#ARYNews https://t.co/5ksQ8PN9hi"
lockdown facemask ,Thu Apr 01 08:04:11 +0000 2021,"Mini Air Purifier with HEPA and UVC. 
starting at Rs.10,000.00
Visit 👉 https://t.co/MeigaOklKi 
#lockdown #facemask #khi #lhr #sanitizer #Covid #clean #new #Pakistan https://t.co/DqIbhP97kc"
,Thu Apr 01 08:03:08 +0000 2021,It's been a year and the world is still battling  Covid-19. https://t.co/5tAU54A6S3
TogetherForYemen ,Thu Apr 01 08:03:00 +0000 2021,"#TogetherForYemen
 ""As health workers, we try every day to talk to the patients about the danger of COVID-19, but very few understand it or are able to take the precautions."" https://t.co/dUDxYcpEqJ"
COVIDー19 ,Thu Apr 01 08:01:38 +0000 2021,How objectively biased our influencers are ! Miraculously  Pakistan rescues it self from the deadly #COVIDー19 1st wave and no credit to IK Govt no effect of #Ehsaas programs while during the 2nd wave covid is spread due to govt negligence. No miracles ? Hypocrites
COVID ARYNews ,Thu Apr 01 08:01:17 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 08:00:47 +0000 2021,It's been a year and the world is still battling  Covid-19. https://t.co/5tAU54A6S3
coronavirus ,Thu Apr 01 08:00:29 +0000 2021,"Pakistan has opened registration for vaccination against the novel #coronavirus for people of 50 years and above

For More Details: https://t.co/hIPovyWIMA

#ARYNews https://t.co/5ksQ8PN9hi"
coronavirus ,Thu Apr 01 08:00:24 +0000 2021,"Pakistan has opened registration for vaccination against the novel #coronavirus for people of 50 years and above

For More Details: https://t.co/hIPovyWIMA

#ARYNews https://t.co/5ksQ8PN9hi"
,Thu Apr 01 08:00:09 +0000 2021,"4,974 COVID cases reported in Pakistan during the last 24 hours making it the highest number of cases since June 19th, 2020."
AAAFM ,Thu Apr 01 08:00:08 +0000 2021,"DISINFECT YOUR HOMES, OFFICES, HOSPITALS SHOPPING MALLS, SHOPS &amp; INDUSTRIES FROM CORONAVIRUS &amp; STAY SAFE
#AAAFM #FacilityManagement #Karachi #Islamabad #Lahore #covidthirdwave #disinfecting #covid19 #covid19outbreak #corporatecultures #covid #healthyworkplace #CoronaVirusPakistan https://t.co/IXeZgt7ylB"
covid_third_wave aaafm karachi islamabad lahore disinfecting covid19 ,Thu Apr 01 07:59:35 +0000 2021,"#covid_third_wave

Coronavirus safety precautions.

#aaafm #karachi #islamabad #lahore #disinfecting #covid19 #covid19outbreak #corporatecultures #healthyworkplace #CoronaVirusPakistan #facilitymanagement #publichealth #safety #healthandsafety #workplacesafety #corona #covid https://t.co/a3LE47tyEe"
coronavirus ARYNews ,Thu Apr 01 07:58:38 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
,Thu Apr 01 07:58:27 +0000 2021,It's been a year and the world is still battling  Covid-19. https://t.co/5tAU54A6S3
COVID ARYNews ,Thu Apr 01 07:56:46 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 07:55:24 +0000 2021,"It's been one year since the Pandemic started in Pakistan, and I think it's a fair statement to make that out of all the provinces of Pakistan, #SindhGovt has handled the COVID-19 crisis most efficiently. That's a fact. 

Good job, @SindhGovt1 👏

#Pakistan"
ARYNews ,Thu Apr 01 07:55:21 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
COVID ARYNews ,Thu Apr 01 07:48:24 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 07:46:10 +0000 2021,"The government of Sindh announced to ban wedding functions from April 6 to control the outbreak of the third Covid-19 wave. The notification reads that all markets, shopping malls and other businesses will work from 6am in the morning till 8pm.

#COVID19 #Sindh #Karachi #lockdown https://t.co/K3ZFcw9232"
ARYNews ,Thu Apr 01 07:44:53 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
coronavirus ARYNews ,Thu Apr 01 07:42:40 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
coronavirus ARYNews ,Thu Apr 01 07:42:30 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
coronavirus ARYNews ,Thu Apr 01 07:41:25 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
coronavirus ARYNews ,Thu Apr 01 07:41:10 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
,Thu Apr 01 07:40:22 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
coronavirus ARYNews ,Thu Apr 01 07:39:49 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
COVID ARYNews ,Thu Apr 01 07:39:29 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 07:39:04 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
coronavirus ARYNews ,Thu Apr 01 07:38:58 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
coronavirus ARYNews ,Thu Apr 01 07:38:52 +0000 2021,"Islamabad: 66 more children test positive for #coronavirus in 24 hours

#ARYNews 

https://t.co/em6yLxrhTw"
